Distance_(pixels),Gray_Value
0,1972.889
1,1920.432
2,2003.451
3,1925.336
4,1831.749
5,1709.000
6,1666.010
7,1833.427
8,1899.364
9,1864.148
10,1765.182
11,1731.583
12,1685.917
13,1558.480
14,1396.800
15,1356.400
16,1476.874
17,1510.622
18,1661.900
19,1667.546
20,1706.167
21,1749.850
22,1875.474
23,1806.932
24,1799.521
25,1760.920
26,1787.695
27,1706.353
28,1696.998
29,1692.416
30,1639.693
31,1601.775
32,1543.646
33,1496.500
34,1441.833
35,1412.885
36,1400.455
37,1443.091
38,1434.421
39,1335.985
40,1441.996
41,1479.541
42,1562.889
43,1496.239
44,1489.667
45,1522.475
46,1548.523
47,1575.553
48,1655.913
49,1537.207
50,1441.950
51,1442.610
52,1474.700
53,1499.172
54,1571.999
55,1602.948
56,1651.998
57,1519.468
58,1389.229
59,1340.310
60,1293.669
61,1429.334
62,1364.246
63,1432.366
64,1350.198
65,1219.363
66,1375.350
67,1561.279
68,1430.318
69,1468.912
70,1528.664
71,1490.474
72,1447.915
73,1522.245
74,1664.307
75,1672.031
76,1511.373
77,1485.626
78,1412.559
79,1321.599
80,1230.040
81,1249.592
82,1364.354
83,1504.313
84,1496.230
85,1572.700
86,1545.120
87,1589.516
88,1566.852
89,1456.166
90,1467.556
91,1492.977
92,1462.628
93,1525.061
94,1562.822
95,1573.643
96,1571.070
97,1503.382
98,1421.420
99,1364.920
100,1305.691
101,1351.905
102,1529.999
103,1679.114
104,1651.276
105,1456.083
106,1397.286
107,1390.220
108,1427.268
109,1386.106
110,1344.520
111,1384.829
112,1454.823
113,1526.897
114,1503.958
115,1368.946
116,1326.253
117,1360.511
118,1447.760
119,1401.503
120,1318.603
121,1285.698
122,1330.421
123,1490.467
124,1675.917
125,1759.784
126,1618.853
127,1639.069
128,1615.458
129,1472.031
130,1464.390
131,1560.218
132,1685.151
133,1765.654
134,1889.664
135,1801.927
136,1921.083
137,1929.322
138,1717.448
139,1603.393
140,1506.435
141,1604.695
142,1547.747
143,1492.959
144,1552.466
145,1652.167
146,1860.755
147,1874.400
148,1683.815
149,1416.083
150,1239.940
151,1219.392
152,1271.169
153,1429.975
154,1426.850
155,1524.128
156,1446.168
157,1530.278
158,1465.598
159,1519.427
160,1497.318
161,1584.903
162,1432.996
163,1610.532
164,1615.334
165,1494.399
166,1566.056
