Distance_(pixels),Gray_Value
0,1940.417
1,1823.650
2,1760.954
3,1678.648
4,1580.066
5,1522.566
6,1491.489
7,1489.445
8,1496.708
9,1662.182
10,1733.793
11,1630.924
12,1685.229
13,1649.359
14,1625.332
15,1547.385
16,1608.987
17,1643.821
18,1749.114
19,1826.514
20,1929.694
21,1864.634
22,1553.429
23,1275.381
24,1143.534
25,1193.490
26,1213.322
27,1282.710
28,1308.061
29,1116.102
30,1144.420
31,1197.361
32,1253.510
33,1564.205
34,1732.040
35,1566.517
36,1281.156
37,1158.406
38,1164.622
39,1183.276
40,1406.043
41,1675.801
42,1733.504
43,1724.642
44,1792.544
45,1713.661
46,1736.335
47,1742.985
48,1743.432
49,1684.498
50,1609.167
51,1648.831
52,1682.832
53,1630.029
54,1633.578
55,1658.928
56,1567.899
57,1533.465
58,1448.510
59,1374.434
60,1335.417
61,1247.874
62,1341.319
63,1429.735
64,1527.368
65,1674.932
66,1625.091
67,1713.172
68,1652.675
69,1666.792
70,1637.500
71,1543.612
72,1504.587
73,1678.160
74,1810.585
75,1769.783
76,1633.053
77,1606.039
78,1657.075
79,1734.207
80,1715.033
81,1647.778
82,1485.640
83,1396.714
84,1402.100
85,1560.399
86,1671.933
87,1657.696
88,1585.127
89,1474.801
90,1493.658
91,1579.899
92,1528.784
93,1392.117
94,1340.262
95,1367.059
96,1510.875
97,1638.834
98,1794.514
99,1808.234
100,1602.523
101,1698.996
102,1798.687
103,1768.913
104,1719.163
105,1816.283
106,1709.547
107,1662.550
108,1712.507
109,1730.870
110,1747.272
111,1714.167
112,1698.568
113,1668.355
114,1552.486
115,1571.096
116,1574.200
117,1759.417
118,1773.680
119,1776.861
120,1654.350
121,1419.362
122,1240.083
123,1223.750
124,1373.595
125,1429.900
126,1531.965
127,1696.708
128,1776.279
129,1765.501
130,1615.363
131,1527.411
132,1378.194
133,1546.223
134,1678.525
135,1652.676
136,1805.859
137,1736.746
138,1725.411
139,1606.160
140,1639.070
141,1586.460
142,1506.125
143,1567.556
144,1449.943
145,1498.678
146,1595.573
147,1611.500
148,1697.654
149,1514.062
150,1404.401
151,1178.052
152,1158.619
153,1073.239
154,1237.398
155,1483.670
156,1470.990
157,1570.518
158,1430.319
159,1258.570
160,1204.843
161,1189.100
162,976.374
163,1291.904
164,1274.894
165,1274.921
166,1384.785
167,1253.901
168,1315.623
169,1222.268
170,1100.867
171,1318.314
172,1326.828
173,1005.044
174,922.500
175,994.038
176,1270.600
