Distance_(pixels),Gray_Value
0,1618.334
1,1526.528
2,1424.556
3,1298.560
4,1407.190
5,1562.420
6,1684.002
7,1608.561
8,1645.252
9,1726.954
10,1724.700
11,1780.133
12,1803.567
13,1826.467
14,1986.200
15,2053.967
16,1958.600
17,1755.500
18,1549.234
19,1561.167
20,1840.120
21,1941.677
22,1909.987
23,1726.461
24,1657.280
25,1615.207
26,1752.140
27,1954.959
28,1989.993
29,1954.637
30,1914.304
31,1803.400
32,1711.884
33,1766.097
34,1903.517
35,2020.863
36,2081.253
37,2036.716
38,1839.440
39,1693.557
40,1707.874
41,1785.084
42,1736.000
43,1588.417
44,1549.000
45,1570.750
46,1670.417
47,1777.417
48,1687.167
49,1573.334
50,1626.334
51,1769.250
52,1832.583
53,1806.917
54,1872.833
55,1985.667
56,1934.750
57,1800.584
58,1712.084
59,1715.917
60,1810.500
61,1997.084
62,2138.334
63,2090.584
64,2017.917
65,1970.000
66,1909.417
67,1831.584
68,1626.187
69,1537.657
70,1471.320
71,1471.166
72,1548.813
73,1632.626
74,1615.481
75,1645.333
76,1492.000
77,1523.934
78,1441.167
79,1388.667
80,1369.300
81,1230.720
82,1269.042
83,1421.355
84,1573.953
85,1708.155
86,1837.199
87,1881.560
88,1600.707
89,1481.401
90,1315.756
91,1325.400
92,1474.767
93,1540.300
94,1470.934
95,1297.590
96,1213.880
97,1198.030
98,1373.290
99,1484.690
100,1446.630
101,1454.010
102,1516.410
103,1510.950
104,1418.510
105,1371.980
106,1361.930
107,1407.860
108,1460.390
109,1632.607
110,1737.360
111,1692.147
112,1708.580
113,1769.167
114,1763.417
115,1734.334
116,1651.750
117,1535.417
118,1399.833
119,1384.833
120,1511.000
121,1665.917
122,1767.667
123,1785.667
124,1767.083
125,1679.497
126,1675.080
127,1568.847
128,1527.816
129,1479.804
130,1353.633
131,1360.234
132,1402.567
133,1426.899
134,1222.019
135,1170.263
136,1214.800
137,1335.510
138,1322.402
139,1311.815
140,1271.577
141,1374.054
142,1413.932
143,1333.586
144,1229.073
145,1289.183
146,1343.651
147,1266.411
148,1090.104
149,1116.553
150,1215.500
151,1283.167
152,1406.251
153,1516.214
154,1521.520
155,1528.063
156,1498.933
157,1422.250
158,1359.450
159,1400.094
160,1353.420
161,1454.040
162,1609.567
163,1555.667
164,1587.204
165,1544.714
166,1652.589
