Distance_(pixels),Gray_Value
0,1493.750
1,1626.750
2,1691.750
3,1728.267
4,1804.135
5,1878.603
6,1938.898
7,1763.313
8,1614.880
9,1475.400
10,1528.900
11,1593.653
12,1783.534
13,1822.332
14,1720.757
15,1652.051
16,1712.260
17,1836.274
18,1881.310
19,1952.982
20,1813.080
21,1748.799
22,1539.343
23,1385.238
24,1354.440
25,1119.751
26,1231.006
27,1157.434
28,1060.232
29,1246.447
30,1304.280
31,1543.520
32,1519.295
33,1682.988
34,1553.250
35,1534.113
36,1496.233
37,1602.133
38,1697.179
39,1729.137
40,1818.411
41,1837.467
42,1820.834
43,1732.834
44,1784.190
45,1886.040
46,1922.707
47,1854.627
48,1822.367
49,1818.708
50,1716.751
51,1531.925
52,1532.047
53,1669.296
54,1722.351
55,1632.610
56,1660.342
57,1608.940
58,1571.748
59,1533.018
60,1213.339
61,1433.044
62,1645.284
63,1367.550
64,1375.946
65,1453.423
66,1523.012
67,1695.640
68,1556.924
69,1723.747
70,1799.431
71,1759.718
72,1526.100
73,1491.917
74,1383.011
75,1565.562
76,1721.331
77,1454.463
78,1420.717
79,1231.216
80,1336.914
81,1423.923
82,1385.466
83,1456.000
84,1636.278
85,1622.873
86,1681.910
87,1626.146
88,1651.925
89,1839.793
90,1909.816
91,1797.703
92,1660.626
93,1560.122
94,1503.092
95,1462.977
96,1483.749
97,1554.698
98,1644.338
99,1746.898
100,1747.220
101,1689.268
102,1734.500
103,1860.025
104,1997.054
105,2047.628
106,2135.718
107,2034.500
108,1998.467
109,1684.680
110,1512.063
111,1388.700
112,1555.387
113,1697.233
114,1586.180
115,1525.420
116,1558.433
117,1659.200
118,1812.170
119,1985.869
120,2057.102
121,1877.434
122,1649.046
123,1596.146
124,1759.731
125,1697.098
126,1593.510
127,1573.860
128,1402.148
129,1464.250
130,1531.603
131,1562.631
132,1475.510
133,1342.535
134,1284.378
135,1449.703
136,1592.840
137,1675.939
138,1648.131
139,1591.447
140,1673.800
141,1654.806
142,1694.879
143,1635.400
144,1577.622
145,1639.860
146,1598.637
147,1505.140
148,1411.175
149,1351.499
150,1520.499
151,1679.500
152,1657.067
153,1675.042
154,1668.972
155,1619.433
156,1578.599
157,1559.839
158,1429.208
159,1266.827
160,1225.169
161,1144.146
162,1237.028
163,1338.599
164,1513.003
165,1786.823
166,1787.851
167,1695.617
168,1602.749
169,1568.230
170,1632.649
171,1739.312
172,1771.700
173,1618.940
174,1542.618
175,1572.336
176,1454.250
177,1441.694
178,1583.620
179,1577.282
180,1527.910
181,1278.500
